,Precinct,State Code,Count,State Name
720,25.0,MA,51,Massachusetts
721,25.0,MD,35,Maryland
722,25.0,ME,8,Maine
723,25.0,MI,8,Michigan
724,25.0,MN,3,Minnesota
725,25.0,MO,3,Missouri
726,25.0,MS,2,Mississippi
727,25.0,MT,1,Montana
728,25.0,NC,48,North Carolina
729,25.0,NH,3,New Hampshire
730,25.0,NJ,547,New Jersey
731,25.0,NM,2,New Mexico
732,25.0,NV,2,Nevada
733,25.0,NY,4256,New York
734,25.0,OH,19,Ohio
735,25.0,OK,8,Oklahoma
736,25.0,OR,1,Oregon
737,25.0,PA,204,Pennsylvania
738,25.0,PR,1,Puerto Rico
739,25.0,RI,6,Rhode Island
740,25.0,SC,34,South Carolina
741,25.0,TN,12,Tennessee
742,25.0,TX,7,Texas
743,25.0,VA,51,Virginia
744,25.0,VT,5,Vermont
745,25.0,WA,3,Washington
746,25.0,WI,2,Wisconsin
747,25.0,WV,1,West Virginia
748,26.0,AL,3,Alabama
749,26.0,AR,8,Arkansas
750,26.0,AZ,45,Arizona
751,26.0,CA,18,California
752,26.0,CO,2,Colorado
753,26.0,CT,107,Connecticut
754,26.0,DE,6,Delaware
755,26.0,FL,56,Florida
756,26.0,GA,19,Georgia
757,26.0,IA,1,Iowa
758,26.0,ID,7,Idaho
759,26.0,IL,18,Illinois
760,26.0,IN,42,Indiana
761,26.0,KY,6,Kentucky
762,26.0,LA,3,Louisiana
763,26.0,MA,50,Massachusetts
764,26.0,MD,34,Maryland
765,26.0,ME,4,Maine
766,26.0,MI,11,Michigan
767,26.0,MN,1,Minnesota
768,26.0,MS,1,Mississippi
769,26.0,NC,30,North Carolina
770,26.0,NH,8,New Hampshire
771,26.0,NJ,675,New Jersey
772,26.0,NV,2,Nevada
773,26.0,NY,3551,New York
774,26.0,OH,21,Ohio
775,26.0,OK,10,Oklahoma
776,26.0,OR,2,Oregon
777,26.0,PA,188,Pennsylvania
778,26.0,RI,6,Rhode Island
779,26.0,SC,14,South Carolina
780,26.0,SD,1,South Dakota
781,26.0,TN,7,Tennessee
782,26.0,TX,14,Texas
783,26.0,UT,1,Utah
784,26.0,VA,54,Virginia
785,26.0,VT,4,Vermont
786,26.0,WA,5,Washington
787,26.0,WI,3,Wisconsin
796,28.0,AL,2,Alabama
797,28.0,AR,7,Arkansas
798,28.0,AZ,25,Arizona
799,28.0,CA,23,California
800,28.0,CO,2,Colorado
801,28.0,CT,139,Connecticut
802,28.0,DC,6,District of Columbia
803,28.0,DE,16,Delaware
804,28.0,FL,89,Florida
805,28.0,GA,52,Georgia
806,28.0,IA,1,Iowa
807,28.0,ID,2,Idaho
808,28.0,IL,40,Illinois
809,28.0,IN,58,Indiana
810,28.0,KS,1,Kansas
811,28.0,KY,2,Kentucky
812,28.0,LA,4,Louisiana
813,28.0,MA,75,Massachusetts
814,28.0,MD,68,Maryland
815,28.0,ME,7,Maine
816,28.0,MI,14,Michigan
817,28.0,MN,6,Minnesota
818,28.0,MO,5,Missouri
819,28.0,MS,1,Mississippi
820,28.0,MT,1,Montana
821,28.0,NC,90,North Carolina
822,28.0,NH,9,New Hampshire
823,28.0,NJ,750,New Jersey
824,28.0,NM,3,New Mexico
825,28.0,NV,2,Nevada
826,28.0,NY,4762,New York
827,28.0,OH,36,Ohio
828,28.0,OK,34,Oklahoma
829,28.0,OR,2,Oregon
830,28.0,PA,210,Pennsylvania
831,28.0,PR,1,Puerto Rico
832,28.0,RI,8,Rhode Island
833,28.0,SC,43,South Carolina
834,28.0,TN,24,Tennessee
835,28.0,TX,16,Texas
836,28.0,UT,5,Utah
837,28.0,VA,91,Virginia
838,28.0,VT,3,Vermont
839,28.0,WA,5,Washington
840,28.0,WI,6,Wisconsin
841,28.0,WV,1,West Virginia
844,30.0,AL,7,Alabama
845,30.0,AR,2,Arkansas
846,30.0,AZ,26,Arizona
847,30.0,CA,26,California
848,30.0,CO,1,Colorado
849,30.0,CT,102,Connecticut
850,30.0,DC,4,District of Columbia
851,30.0,DE,8,Delaware
852,30.0,FL,71,Florida
853,30.0,GA,40,Georgia
854,30.0,IA,3,Iowa
855,30.0,ID,3,Idaho
856,30.0,IL,30,Illinois
857,30.0,IN,16,Indiana
858,30.0,KS,1,Kansas
859,30.0,KY,2,Kentucky
860,30.0,LA,1,Louisiana
861,30.0,MA,69,Massachusetts
862,30.0,MD,58,Maryland
863,30.0,ME,10,Maine
864,30.0,MI,14,Michigan
865,30.0,MN,5,Minnesota
866,30.0,MO,5,Missouri
867,30.0,MS,4,Mississippi
868,30.0,NC,48,North Carolina
869,30.0,NH,6,New Hampshire
870,30.0,NJ,597,New Jersey
871,30.0,NM,2,New Mexico
872,30.0,NV,1,Nevada
873,30.0,NY,3871,New York
874,30.0,OH,17,Ohio
875,30.0,OK,14,Oklahoma
876,30.0,OR,2,Oregon
